file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,60,css,c9eef559,Hana Julia Tjendrawasi,2025-01-16,11:37:58,-08:00,2025-01-16T11:37:58-08:00,0,0
style.css,61,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,27
style.css,62,css,c9eef559,Hana Julia Tjendrawasi,2025-01-16,11:37:58,-08:00,2025-01-16T11:37:58-08:00,0,14
style.css,63,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,40
style.css,64,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,65,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,66,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,17
style.css,67,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,12
style.css,68,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,70
style.css,69,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,17
style.css,70,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,71,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,72,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,73,css,80fdae22,Hana Julia Tjendrawasi,2025-01-23,10:43:47,-08:00,2025-01-23T10:43:47-08:00,0,0
style.css,74,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,10
style.css,75,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,13
style.css,76,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,12
style.css,77,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,13
style.css,78,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,79,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,80,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,11
style.css,81,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,60
style.css,82,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,55
style.css,83,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,84,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
